"NAME,C,254","TYPE,C,254","LENGTH___F,N,19,6","WIDTH___FE,N,19,6","HEIGHT___F,N,19,6","FLOOR_SPAC,N,11,0","YEAR_BUILT,N,11,0","ROOF,C,254","ROOF_REPLA,N,11,0","ACCESSIBLE,C,254","AMENITIES,C,100","COMMENTS,C,254","MAX_PDOP,N,19,6","MAX_HDOP,N,19,6","CORR_TYPE,C,254","RCVR_TYPE,C,254","GPS_DATE,C,254","GPS_TIME,C,254","UPDATE_STA,C,254","FEAT_NAME,C,254","DATAFILE,C,254","UNFILT_POS,N,11,0","FILT_POS,N,11,0","DATA_DICTI,C,254","GPS_WEEK,N,11,0","GPS_SECOND,N,19,6","GPS_HEIGHT,N,19,6","VERT_PREC,N,19,6","HORZ_PREC,N,19,6","STD_DEV,N,19,6","LATITUDE,C,254","LONGITUDE,C,254","SOURCE,C,100","FMSS_ID,N,16,0","STATUS,C,100","X_COORD,N,19,5","Y_COORD,N,19,5","Join_Id,C,50","TRAIL_CLUB,C,100","Town,C,50","County,C,50","State,C,25","Elev_feet,N,10,3","Publish,C,4","Version,C,20"
Gravel Springs Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,2.500000,1.500000,Differential,Pro XRS,06/29/02,07:23:57am,,,E062907A.cor,20,20,,0,0.000000,757.838000,1.100000,0.700000,0.163316,38.763840000,-78.233910000,2002 GPS Survey; adjusted based on aerial imagery,95373,Official A.T. Shelter,-78.23391,38.76384,SH100,Potomac Appalachian Trail Club,,RAPPAHANNOCK,Virginia,0.000,Yes,01/12/2015
Pass Mountain Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,3.600000,1.800000,Differential,Pro XRS,06/29/02,03:12:17pm,,,E062907A.cor,20,20,,0,0.000000,825.614000,1.600000,0.900000,0.149491,38.676560000,-78.319180000,2002 GPS Survey,95375,Official A.T. Shelter,-78.31918,38.67656,SH101,Potomac Appalachian Trail Club,,RAPPAHANNOCK,Virginia,0.000,Yes,01/12/2015
Bears Den Hostel,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,Fee charged to stay here,4.900000,4.000000,Differential,Pro XRS,07/05/02,07:13:11am,,,E070506A.cor,10,10,,0,0.000000,418.043000,1.500000,1.500000,3.752689,39.110900000,-77.854380000,2002 GPS Survey; adjusted based on aerial imagery,0,Hostel,-77.85438,39.11090,SH102,Potomac Appalachian Trail Club,,CLARKE,Virginia,1338.583,No,01/12/2015
Sam Moore,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,5.100000,3.200000,Differential,Pro XRS,07/05/02,09:02:58am,,,E070506A.cor,21,21,,0,0.000000,287.427000,1.400000,0.800000,1.541544,39.090630000,-77.886570000,2002 GPS Survey; adjusted based on aerial imagery,95244,Official A.T. Shelter,-77.88657,39.09063,SH103,Potomac Appalachian Trail Club,,CLARKE,Virginia,934.670,Yes,01/12/2015
ATC Headquarters,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,"ATC headquarters and parking lot, no overnight stays permitted",2.800000,1.600000,Differential,Pro XRS,07/06/02,12:38:31pm,,,E070606A.cor,33,33,,0,0.000000,161.392000,0.900000,0.600000,0.692513,39.325280000,-77.740940000,2002 GPS Survey,0,Other,-77.74094,39.32528,SH104,Potomac Appalachian Trail Club,HARPERS FERRY,JEFFERSON,West Virginia,511.480,No,01/12/2015
Blackburn Trail Center,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,0.000000,0.000000,Differential,GeoExplorer 2,unknown,unknown,,,Unknown,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,39.187860000,-77.797690000,1999 GPS Survey; adjusted based on aerial imagery,0,Hut,-77.79769,39.18786,SH105,Potomac Appalachian Trail Club,,LOUDOUN,Virginia,0.000,Yes,01/12/2015
Jenny Knob,Stick_w/Lumber_siding,18.000000,8.500000,9.000000,128,1960,Asphalt_shingle,0,Unknown,Water Source and Toilet,Floor 2.5' above ground,4.200000,0.000000,Differential,Pro XRS,05/14/02,09:28:06am,,,E051407A.cor,20,20,,0,0.000000,800.755000,1.700000,1.100000,0.431663,37.154970000,-80.980320000,2002 GPS Survey,95402,Official A.T. Shelter,-80.98032,37.15497,SH106,Roanoke Appalachian Trail Club,,BLAND,Virginia,2599.277,Yes,01/12/2015
Sarver Hollow,Stick_w/Lumber_sidng,10.000000,16.000000,16.000000,160,0,Corregated_steel,0,Unknown,Water Source and Toilet,12x16 covered porch,2.800000,0.000000,Differential,Pro XRS,05/22/02,09:41:12am,,,E052207A.cor,21,21,,0,0.000000,943.339000,1.200000,0.800000,0.086533,37.354620000,-80.337620000,2002 GPS Survey,95397,Official A.T. Shelter,-80.33762,37.35462,SH107,Roanoke Appalachian Trail Club,,MONTGOMERY,Virginia,3072.013,Yes,01/12/2015
Raccoon Branch (old shelter),Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,6.300000,0.000000,Differential,Pro XRS,05/03/02,01:01:46pm,,,R050307A.cor,20,20,,0,0.000000,1111.898000,1.500000,0.700000,8.548820,36.730960000,-81.471890000,2002 GPS Survey,0,"Old shelter, now removed",-81.47189,36.73096,SH108,Mount Rogers Appalachian Trail Club,,SMYTH,Virginia,3586.269,No,01/12/2015
Iron Mountain,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,3.300000,0.000000,Differential,Pro XRS,04/23/02,10:01:18am,,,E042307A.cor,20,20,,0,0.000000,1258.146000,1.400000,0.800000,0.403109,36.435320000,-81.991110000,2002 GPS Survey,95420,Official A.T. Shelter,-81.99111,36.43532,SH109,Tennessee Eastman Hiking and Canoeing Club,,JOHNSON,Tennessee,4095.665,Yes,01/12/2015
Flint Mountain,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,3.900000,0.000000,Differential,Pro XRS,04/10/02,03:07:38PM,,,e041007a.cor,22,22,,0,0.000000,1100.394000,1.700000,0.900000,0.192982,36.034770000,-82.596780000,2002 GPS Survey,95264,Official A.T. Shelter,-82.59678,36.03477,SH110,Carolina Mountain Club,,MADISON,North Carolina,3565.460,Yes,01/12/2015
Roan High Knob,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source,,4.900000,0.000000,Differential,Pro XRS,04/18/02,09:05:56AM,,,e041808a.cor,20,20,,0,0.000000,1917.878000,2.300000,0.900000,0.082737,36.104970000,-82.122370000,2002 GPS Survey,95298,Official A.T. Shelter,-82.12237,36.10497,SH111,Tennessee Eastman Hiking and Canoeing Club,,CARTER,Tennessee,6269.943,Yes,01/12/2015
Stan Murray,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source,,4.700000,0.000000,Differential,Pro XRS,04/19/02,09:25:34AM,,,e041907a.cor,19,19,,0,0.000000,1549.663000,2.100000,0.900000,0.171604,36.112270000,-82.065860000,2002 GPS Survey,95427,Official A.T. Shelter,-82.06586,36.11227,SH112,Tennessee Eastman Hiking and Canoeing Club,,CARTER,North Carolina,5040.479,Yes,01/12/2015
Apple House (old shelter),Stick_w/ply_siding,13.000000,14.500000,9.000000,142,1990,Corregated_metal,0,No,Water Source,housing development nearby,4.700000,2.100000,Differential,Pro XRS,06/17/04,04:34:40pm,New,Shelter_Inventory,R061714B_edited.cor,25,25,ATversion10,1275,419694.000000,935.026000,1.600000,0.900000,0.481951,36.172050000,-82.011280000,2004 Trail Assessment,95425,"Old shelter, no longer there - torn down",-82.01128,36.17205,SH113,Tennessee Eastman Hiking and Canoeing Club,,CARTER,Tennessee,3016.213,No,01/12/2015
Roaring Fork (old shelter location),Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,"Old Shelter, which I believe has been removed now",4.600000,0.000000,Differential,Pro XRS,04/05/02,11:49:22AM,,,e040507a.cor,20,20,,0,0.000000,1082.571000,1.500000,1.000000,0.884091,35.822360000,-82.938630000,2002 GPS Survey,0,Unknown,-82.93863,35.82236,SH114,Carolina Mountain Club,,MADISON,North Carolina,3501.173,No,01/12/2015
Gooch Mountain,Stick_w/T1_siding,20.000000,30.000000,20.000000,50,2001,Corregated_steel,0,Unknown,Water Source and Toilet,,2.300000,0.000000,Differential,Pro XRS,03/04/02,02:39:47PM,,,e030409a.cor,20,20,,0,0.000000,852.577000,1.000000,0.600000,0.126561,34.655530000,-84.050030000,2002 GPS Survey,95455,Official A.T. Shelter,-84.05003,34.65553,SH115,Georgia Appalachian Trail Club,,UNION,Georgia,2766.348,Yes,01/12/2015
Gooch Gap (old shelter),Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,Old shelter to be dismantled,2.500000,0.000000,Differential,Pro XRS,03/04/02,03:41:55PM,,,e030409a.cor,20,20,,0,0.000000,885.637000,1.000000,0.800000,0.136179,34.653130000,-84.034130000,2002 GPS Survey,0,"Old Shelter, now removed??",-84.03413,34.65313,SH116,Georgia Appalachian Trail Club,,UNION,Georgia,2884.252,No,01/12/2015
Walasi-yi Center,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,located in Neels Gap,2.900000,0.000000,Differential,Pro XRS,03/07/02,08:25:29AM,,,e030707a.cor,20,20,,0,0.000000,966.289000,1.300000,0.700000,0.080353,34.735070000,-83.917880000,2002 GPS Survey,0,Hut,-83.91788,34.73507,SH117,Georgia Appalachian Trail Club,,UNION,Georgia,3100.395,Yes,01/12/2015
Deep Gap,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,2.900000,0.000000,Differential,Pro XRS,03/10/02,02:41:19PM,,,e031008a.cor,21,21,,0,0.000000,1068.336000,1.100000,0.700000,2.376112,34.882370000,-83.646010000,2002 GPS Survey,95449,Official A.T. Shelter,-83.64601,34.88237,SH118,Georgia Appalachian Trail Club,,RABUN,Georgia,3452.067,Yes,01/12/2015
Milesburn Cabin,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,Fee charged to stay here,6.100000,2.800000,Differential,Pro XRS,010/9/02,09:05:19am,,,E100908A.cor,19,19,,0,0.000000,513.704000,1.400000,0.800000,0.703989,39.977560000,-77.452570000,2002 GPS Survey,0,Private Cabin,-77.45257,39.97756,SH119,Potomac Appalachian Trail Club,SOUTHAMPTON TWP,CUMBERLAND,Pennsylvania,1670.981,No,01/12/2015
Peters Mountain,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,0.000000,0.000000,Differential,GeoExplorer 2,unknown,unknown,,,Unknown,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,40.425910000,-76.879650000,1999 GPS Survey; adjusted slightly,95363,Official A.T. Shelter,-76.87965,40.42591,SH120,Susquehanna Appalachian Trail Club,HALIFAX TWP,DAUPHIN,Pennsylvania,1119.130,Yes,01/12/2015
Scott Farm,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,no overnight stays permitted,2.700000,1.900000,Differential,Pro XRS,01/25/02,06:18:38pm,,,R012513B.cor,22,22,,0,0.000000,122.909000,0.500000,0.500000,0.109675,40.259420000,-77.104160000,2002 GPS Survey,81343,Other,-77.10416,40.25942,SH121,Cumberland Valley Appalachian Trail Club,MIDDLESEX TWP,CUMBERLAND,Pennsylvania,389.778,No,01/12/2015
ATC Mid-Atlantic Office,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source,no overnight stays permitted,1.900000,1.100000,Differential,Pro XRS,01/26/02,12:23:52pm,,,R012610A.cor,21,21,,0,0.000000,146.936000,0.400000,0.300000,0.088342,40.149900000,-77.127400000,2002 GPS Survey,81341,Other,-77.12740,40.14990,SH122,Cumberland Valley Appalachian Trail Club,SOUTH MIDDLETON TWP,CUMBERLAND,Pennsylvania,472.441,No,01/12/2015
Ironmasters Mansion Hostel,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,Fee charged to stay here,0.000000,0.000000,Differential,GeoExplorer 2,unknown,unknown,,,Unknown,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,40.032160000,-77.308320000,1999 GPS Survey,0,Hostel,-77.30832,40.03216,SH123,Mountain Club of Maryland,COOKE TWP,CUMBERLAND,Pennsylvania,898.463,No,01/12/2015
Sunrise Mountain Picnic Shelter,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,Not listed in A.T. publications,2.500000,1.400000,Differential,Pro XRS,03/25/03,11:47:23am,,,E032507A.cor,20,20,,0,0.000000,505.282000,0.600000,0.400000,0.033069,41.218090000,-74.720940000,2003 GPS Survey; adjusted based on aerial imagery,0,Picnic Shelter,-74.72094,41.21809,SH124,New York-New Jersey Trail Conference,SANDYSTON TWP,SUSSEX,New Jersey,1648.930,No,01/12/2015
Riga Lean-to,Log,7.400000,13.400000,10.000000,91,0,Corregated_metal,0,Unknown,Water Source and Toilet,in very good shape,5.000000,2.400000,Differential,Pro XRS,07/19/04,10:53:07am,New,Shelter,R071908A_edited.cor,20,20,,1280,140000.000000,511.061000,0.500000,0.300000,0.424006,42.015640000,-73.452420000,2004 Trail Assessment,95218,Official A.T. Shelter,-73.45242,42.01564,SH125,AMC - Connecticut Chapter,"SALISBURY, TOWN OF",LITCHFIELD,Connecticut,1651.775,Yes,01/12/2015
Mount Everett,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,stone shelter used by hikers; not noted in guide,2.100000,1.200000,Differential,Pro XRS,05/18/03,12:43:40pm,,,E051807A.cor,22,22,,0,0.000000,765.517000,0.400000,0.300000,0.046436,42.103300000,-73.431140000,2003 GPS Survey,0,Other Shelter,-73.43114,42.10330,SH126,AMC - Berkshire Chapter,"MOUNT WASHINGTON, TOWN OF",BERKSHIRE,Massachusetts,2424.359,No,01/12/2015
Bascom Lodge,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,I could not see tower,2.000000,0.900000,Differential,Pro XRS,05/29/03,10:21:17am,,,E052910A.cor,24,24,,0,0.000000,1062.575000,0.500000,0.300000,0.097896,42.636730000,-73.167290000,2003 GPS Survey,0,Other Shelter,-73.16729,42.63673,SH127,AMC - Berkshire Chapter,"ADAMS, TOWN OF",BERKSHIRE,Massachusetts,3469.881,No,01/12/2015
GMC Caretaker Hut,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,2.100000,1.200000,Differential,Pro XRS,06/05/03,11:34:07am,,,E060509A.cor,10,10,,0,0.000000,1206.407000,0.400000,0.300000,0.181554,43.085940000,-72.925330000,2003 GPS Survey,0,Caretaker Hut,-72.92533,43.08594,SH128,Green Mountain Club,"STRATTON, TOWN OF",WINDHAM,Vermont,3943.570,No,01/12/2015
Deer Hill Lean-to,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,Not on A.T. - one-mile away,0.000000,0.000000,Non-GPS,None,unknown,unknown,,,Unknown,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,42.629300000,-73.194040000,Based on MA-CT Trail Map,0,Other Shelter,-73.19404,42.62930,SH129,AMC - Berkshire Chapter,"WILLIAMSTOWN, TOWN OF",BERKSHIRE,Massachusetts,2004.434,No,01/12/2015
Bellow's Pipe Lean-to,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,Not on A.T. - one-mile away,0.000000,0.000000,Non-GPS,None,unknown,unknown,,,Unknown,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,42.644080000,-73.154660000,Based on MA-CT Trail Map,0,Other Shelter,-73.15466,42.64408,SH130,AMC - Berkshire Chapter,"ADAMS, TOWN OF",BERKSHIRE,Massachusetts,2394.973,No,01/12/2015
Pecks Brook Lean-to,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,Not on A.T. - one-mile away,0.000000,0.000000,Non-GPS,None,unknown,unknown,,,Unknown,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,42.625200000,-73.167230000,Based on MA-CT Trail Map,0,Other Shelter,-73.16723,42.62520,SH131,AMC - Berkshire Chapter,"ADAMS, TOWN OF",BERKSHIRE,Massachusetts,2395.032,No,01/12/2015
Pico Camp,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,location estimate; need elevation,3.100000,2.200000,Differential,Pro XRS,06/17/03,09:27:10am,,,E061706A.cor,16,16,,0,0.000000,1062.421000,0.500000,0.300000,0.882621,43.638930000,-72.831500000,2003 GPS Survey,95331,Official A.T. Shelter,-72.83150,43.63893,SH132,Green Mountain Club,"KILLINGTON, TOWN OF",RUTLAND,Vermont,3516.793,Yes,01/12/2015
Governor Clement,Stone,29.000000,17.000000,9.500000,96,1929,Asphalt_shingle,1995,Yes,Water Source and Toilet,party site,4.900000,2.700000,Differential,Pro XRS,05/03/05,11:33:08am,New,Shelter,R050311D_edited_nero,20,20,,1321,228801.000000,592.912000,0.600000,0.500000,2.233464,43.564670000,-72.848850000,2005 Trail Assessment,95333,Official A.T. Shelter,-72.84885,43.56467,SH133,Green Mountain Club,"SHREWSBURY, TOWN OF",RUTLAND,Vermont,1902.887,Yes,01/12/2015
Minerva Hinchey,Other,16.000000,14.000000,11.000000,264,1969,Asphalt_shingle,0,Yes,Water Source and Toilet,2x4 frame w/ ship lap siding /  originally 4-sided camp,6.700000,3.000000,Differential,Pro XRS,08/24/04,12:40:19pm,New,Shelter,082004A_edited.cor,20,20,ATversion11,1285,232832.000000,497.995000,0.700000,0.400000,1.003291,43.487880000,-72.925020000,2004 Trail Assessment,95335,Official A.T. Shelter,-72.92502,43.48788,SH134,Green Mountain Club,"SHREWSBURY, TOWN OF",RUTLAND,Vermont,1608.629,Yes,01/12/2015
Unnamed Cabin,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,lookout,2.500000,1.400000,Differential,Pro XRS,07/19/02,12:27:39pm,,,E071907A.cor,20,20,,0,0.000000,754.261000,0.600000,0.400000,0.052537,43.678930000,-72.638880000,2003 GPS Survey,0,Private Cabin,-72.63888,43.67893,SH135,Green Mountain Club,"BARNARD, TOWN OF",WINDSOR,Vermont,2442.894,No,01/12/2015
Cloudland (unofficial shelter),Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,"Unofficial Shelter on private property, still open and ""always available""",6.800000,3.000000,Differential,Pro XRS,09/23/02,12:21:38pm,,,E092308A.cor,13,13,,0,0.000000,514.400000,1.100000,0.700000,2.447370,43.691260000,-72.493960000,2003 GPS Survey,0,"Unofficial Shelter on private property, still open and ""always available""",-72.49396,43.69126,SH136,Green Mountain Club,"POMFRET, TOWN OF",WINDSOR,Vermont,1482.459,?,01/12/2015
Greenleaf Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,AMC Hut,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,None,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.160270000,-71.660770000,New Hampshire-Vermont A.T. Trail Maps,0,Hut,-71.66077,44.16027,SH137,Appalachian Mountain Club,"FRANCONIA, TOWN OF",GRAFTON,New Hampshire,4199.212,Yes,01/12/2015
Lonesome Lake Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,AMC Hut,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,None,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.138460000,-71.703650000,New Hampshire-Vermont A.T. Trail Maps,0,Hut,-71.70365,44.13846,SH138,Appalachian Mountain Club,"LINCOLN, TOWN OF",GRAFTON,New Hampshire,2748.780,Yes,01/12/2015
Galehead Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,AMC Hut,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,None,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.187810000,-71.569390000,New Hampshire-Vermont A.T. Trail Maps; adjusted based on 2013 data,0,Hut,-71.56939,44.18781,SH139,Appalachian Mountain Club,"FRANCONIA, TOWN OF",GRAFTON,New Hampshire,3766.404,Yes,01/12/2015
Mizpah Spring Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,None,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.219340000,-71.370110000,New Hampshire-Vermont A.T. Trail Maps,0,Hut,-71.37011,44.21934,SH140,Appalachian Mountain Club,,COOS,New Hampshire,3801.643,Yes,01/12/2015
Mt Abraham Private Cabin,Other,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,None,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.979110000,-70.308370000,Maine A.T. Trail Maps,0,Private Cabin,-70.30837,44.97911,SH141,OTHER,"MT ABRAM, TOWN OF",FRANKLIN,Maine,2131.147,No,01/12/2015
Garfield Ridge,Log/Lumber,0.000000,0.000000,0.000000,0,0,Asphalt_shingle,0,Unknown,Unknown,,3.300000,1.500000,Differential,Pro XRS,unknown,04:42:33pm,New,Shelter2,R090120B_edited.cor,21,21,Maine GPS Project,1338,420166.000000,1228.140000,0.800000,0.400000,0.249227,44.190722633,-71.608893678,2005 GPS Survey; adjusted based on 2013 data,95321,Official A.T. Shelter,-71.60889,44.19072,SH142,Appalachian Mountain Club,"FRANCONIA, TOWN OF",GRAFTON,New Hampshire,4017.167,Yes,01/12/2015
Katahdin Stream Campground Shelter No.7,Timber_Frame,0.000000,0.000000,0.000000,0,0,Asphalt_shingle,0,Unknown,Unknown,"JOHN AND KARL STAYED HERE, 7/29/05",4.900000,1.900000,Differential,Pro XRS,unknown,07:26:56pm,New,Shelter2,R072919A_edited.cor,21,21,Maine GPS Project,1333,516429.359000,336.342000,0.700000,0.500000,1.672021,45.886444086,-68.999944542,2005 GPS Survey; adjusted based on 2013 data,0,Other Shelter,-68.99994,45.88644,SH143,Maine Appalachian Trail Club,,PISCATAQUIS,Maine,1065.470,No,01/12/2015
The Birches Lean-to No. 1,Log/Lumber,0.000000,0.000000,0.000000,0,0,Asphalt_shingle,0,Unknown,Unknown,Katahdin Stream Cg Shelter C,5.700000,1.900000,Differential,Pro XRS,unknown,07:35:24pm,New,Shelter2,R072919A_edited.cor,22,22,Maine GPS Project,1333,516937.164000,339.486000,1.000000,0.400000,2.538173,45.886804431,-68.999693899,2005 GPS Survey; adjusted based on 2013 data,95191,Official A.T. Shelter,-68.99969,45.88680,SH144,Maine Appalachian Trail Club,,PISCATAQUIS,Maine,1069.554,Yes,01/12/2015
The Birches Lean-to No. 2,Log/Lumber,0.000000,0.000000,0.000000,0,0,Asphalt_shingle,0,Unknown,Unknown,Katahdin Stream Cg Shelter B,3.900000,1.400000,Differential,Pro XRS,unknown,07:36:53pm,New,Shelter2,R072919A_edited.cor,21,21,Maine GPS Project,1333,517026.086000,335.947000,0.900000,0.400000,3.403922,45.886884179,-68.999632723,2005 GPS Survey; adjusted based on 2013 data,95193,Official A.T. Shelter,-68.99963,45.88688,SH145,Maine Appalachian Trail Club,,PISCATAQUIS,Maine,1069.554,Yes,01/12/2015
Pierce Pond Lean-to,Log,20.000000,15.000000,10.000000,200,0,Corregated_steel,0,No,Unknown,,5.000000,3.000000,Differential,Pro XRS,unknown,01:46:30pm,New,Shelter2,R080713A_edited.cor,21,21,Maine GPS Project,1335,64003.070000,360.438000,0.700000,0.400000,4.700257,45.240295577,-70.056082006,2005 GPS Survey; adjusted based on 2013 data,95252,Official A.T. Shelter,-70.05608,45.24030,SH146,Maine Appalachian Trail Club,"PIERCE POND, TOWN OF",SOMERSET,Maine,1138.451,Yes,01/12/2015
Horns Pond Day Use Picnic Shelter,Log/Lumber,0.000000,0.000000,0.000000,0,0,Corregated_steel,0,Unknown,Unknown,"quite old, not an overnight site",6.900000,3.000000,Differential,Pro XRS,unknown,01:45:29pm,New,Shelter2,R080912A_edited.cor,24,24,Maine GPS Project,1335,236742.711000,967.008000,1.600000,0.800000,1.187087,45.144322995,-70.330782394,2005 GPS Survey; adjusted based on 2013 data,0,Picnic Shelter,-70.33078,45.14432,SH147,Maine Appalachian Trail Club,"WYMAN, TOWN OF",FRANKLIN,Maine,3157.719,No,01/12/2015
Gentian Pond,Log/Lumber,14.000000,12.000000,8.500000,228,1974,Cedar_shingle,2003,No,Unknown,"good shape, has bear box",5.800000,2.600000,Differential,Pro XRS,06/30/04,01:56:05pm,New,Shelter2,R063012A_edited.cor,23,23,,1277,323778.000000,667.620000,0.500000,0.300000,0.625531,44.451838687,-71.069941693,2004 Trail Assessment; adjusted based on 2013 data,95232,Official A.T. Shelter,-71.06994,44.45184,SH148,Appalachian Mountain Club,,COOS,New Hampshire,2159.816,Yes,01/12/2015
Guyot,Log/Lumber,0.000000,0.000000,0.000000,0,0,Asphalt_shingle,0,Unknown,Unknown,,5.200000,3.400000,Differential,Pro XRS,unknown,02:22:26pm,New,Shelter2,R083014A_edited.cor,21,21,Maine GPS Project,1338,238959.695000,1272.265000,0.900000,0.800000,1.571598,44.161077583,-71.535577682,2005 GPS Survey; adjusted based on 2013 data,95285,Official A.T. Shelter,-71.53558,44.16108,SH149,Appalachian Mountain Club,"LINCOLN, TOWN OF",GRAFTON,New Hampshire,4197.577,Yes,01/12/2015
Crawford Notch Hostel,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,none,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.22014,-71.41171,NH-VT Trail Maps,0,Hostel,-71.41171,44.22014,SH150,OTHER,"CARROLL, TOWN OF",COOS,New Hampshire,1901.575,No,01/12/2015
Hermit Lake Shelter No. 2,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,none,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.26134,-71.28643,NH-VT Trail Maps,0,Other Shelter,-71.28643,44.26134,SH151,OTHER,,COOS,New Hampshire,3882.196,No,01/12/2015
Hermit Lake Shelter No. 1,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,none,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,44.26113,-71.28685,NH-VT Trail Maps,0,Other Shelter,-71.28685,44.26113,SH152,OTHER,,COOS,New Hampshire,3899.557,No,01/12/2015
Gifford Woods State Park,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,none,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,43.67610,-72.81171,AT maps,0,Other Shelter,-72.81171,43.67610,SH153,Green Mountain Club,"KILLINGTON, TOWN OF",RUTLAND,Vermont,1607.181,No,01/12/2015
Old Job,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Unknown,,0.000000,0.000000,Non-GPS,None - Digitized,none,none,,,none,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,43.35407,-72.92894,AT maps,95337,Other Shelter,-72.92894,43.35407,SH154,OTHER,"MT TABOR, TOWN OF",RUTLAND,Vermont,1665.694,No,01/12/2015
